"date"	"matchup"	"team"	"min"	"tpm"	"tpa"	"oreb"	"dreb"	"ast"	"stl"	"blk"	"to"	"pf"	"pts"	"HA"
20041112	"IND@PHI"	"IND"	265	11	27	7	30	27	8	8	19	32	104	-1
20041112	"IND@PHI"	"PHI"	265	10	21	11	30	21	10	1	16	25	106	1
20041112	"CHA@BOS"	"CHA"	240	4	15	12	28	21	10	7	25	25	74	-1
20041112	"CHA@BOS"	"BOS"	240	2	12	12	30	23	14	5	19	16	91	1
20041112	"LAC@NYK"	"LAC"	240	0	3	12	22	24	10	2	21	22	96	-1
20041112	"LAC@NYK"	"NYK"	240	6	11	14	27	23	12	2	16	30	110	1
20041112	"GSW@MEM"	"GSW"	240	2	10	15	31	16	8	7	15	25	67	-1
20041112	"GSW@MEM"	"MEM"	240	1	5	14	48	18	8	17	19	28	96	1
20041112	"ATL@NOP"	"ATL"	240	6	12	7	23	27	10	2	12	24	96	-1
20041112	"ATL@NOP"	"NOP"	240	8	23	14	29	27	7	4	20	23	95	1
20041112	"MIA@SAS"	"MIA"	240	7	12	14	34	14	3	3	22	27	84	-1
20041112	"MIA@SAS"	"SAS"	240	8	19	9	26	24	12	10	9	19	93	1
20041112	"TOR@OKC"	"TOR"	240	9	23	13	22	23	10	6	13	23	87	-1
20041112	"TOR@OKC"	"OKC"	240	12	30	15	31	22	8	4	22	24	88	1
20041113	"DAL@BRK"	"DAL"	240	5	15	11	27	18	12	6	9	25	94	-1
20041113	"DAL@BRK"	"BRK"	240	6	15	16	29	11	5	5	20	24	78	1
20041113	"WAS@CLE"	"WAS"	240	5	9	9	23	15	7	9	13	19	74	-1
20041113	"WAS@CLE"	"CLE"	240	2	9	15	47	31	10	6	14	16	105	1
20041113	"SAS@ATL"	"SAS"	240	9	17	11	40	23	5	7	14	21	103	-1
20041113	"SAS@ATL"	"ATL"	240	5	10	12	37	15	10	0	12	28	88	1
20041113	"GSW@CHA"	"GSW"	240	2	9	9	35	26	7	2	14	22	103	-1
20041113	"GSW@CHA"	"CHA"	240	3	10	13	23	18	6	5	14	27	87	1
20041113	"NYK@IND"	"NYK"	240	5	10	19	30	15	8	7	16	29	97	-1
20041113	"NYK@IND"	"IND"	240	7	16	8	34	25	9	12	15	22	103	1
20041113	"LAC@CHI"	"LAC"	240	3	6	8	33	24	8	4	11	22	97	-1
20041113	"LAC@CHI"	"CHI"	240	7	15	12	34	24	5	2	11	30	96	1
20041113	"LAL@HOU"	"LAL"	240	4	19	9	36	15	3	7	16	22	84	-1
20041113	"LAL@HOU"	"HOU"	240	6	20	9	33	21	10	2	13	25	79	1
20041113	"NOP@MIL"	"NOP"	240	8	16	12	31	26	2	0	14	21	91	-1
20041113	"NOP@MIL"	"MIL"	240	7	15	11	27	21	5	2	8	15	94	1
20041113	"SAC@PHX"	"SAC"	240	7	15	13	21	24	10	3	8	20	113	-1
20041113	"SAC@PHX"	"PHX"	240	9	24	15	27	15	4	9	17	21	111	1
20041113	"DET@UTZ"	"DET"	240	3	10	11	20	22	8	3	12	26	93	-1
20041113	"DET@UTZ"	"UTZ"	240	4	9	12	23	29	6	3	14	19	108	1
20041113	"TOR@POR"	"TOR"	240	7	16	13	25	23	8	2	13	25	102	-1
20041113	"TOR@POR"	"POR"	240	5	11	17	28	20	7	4	16	20	105	1
20041114	"DAL@WAS"	"DAL"	240	12	19	11	27	29	13	2	16	23	122	-1
20041114	"DAL@WAS"	"WAS"	240	6	17	18	25	29	12	5	16	24	113	1
20041114	"ORL@PHI"	"ORL"	240	4	16	15	36	15	12	6	16	20	87	-1
20041114	"ORL@PHI"	"PHI"	240	5	14	11	39	23	10	8	18	26	96	1
20041114	"MIL@MIA"	"MIL"	290	5	15	16	39	25	8	5	14	29	110	-1
20041114	"MIL@MIA"	"MIA"	290	9	27	14	36	30	4	8	16	28	112	1
20041114	"MEM@OKC"	"MEM"	240	8	16	6	21	30	7	3	11	31	113	-1
20041114	"MEM@OKC"	"OKC"	240	6	13	6	27	16	7	6	12	25	118	1
20041114	"DEN@SAC"	"DEN"	240	7	14	14	31	19	11	4	14	23	89	-1
20041114	"DEN@SAC"	"SAC"	240	9	22	8	38	21	6	5	15	20	101	1
20041115	"GSW@CLE"	"GSW"	240	4	14	10	26	25	3	1	9	23	88	-1
20041115	"GSW@CLE"	"CLE"	240	6	11	12	34	21	5	7	12	18	99	1
